                 Country, Voice & Accountability, Pol. Stability & Abs. of Violence, Govt. Effectiveness, Regulatory Quality, Rule of Law, Control of Corruption, Total Tests, Total Deaths, Total Cases, Total Vaccinations, Fully Vaccinated,   population
                Djibouti,                  0.198,                              0.45,                0.25,               0.35,     0.28125,                  0.25,            ,          186,       13504,              99679,            26087,    1002197.0
                 Denmark,                  0.895,                               0.9,               0.875,                0.9,      0.9375,                     1,    47250361,         2922,      497665,            9829691,          4457162,    5813302.0
      Dominican Republic,     0.5347500000000001,                               0.6,               0.375,                0.6,     0.53125,                  0.25,     2191882,         4210,      407474,           13816937,          5601216,   10953714.0
                 Algeria,                0.28225,                               0.3,               0.125,               0.15,       0.375,                  0.25,            ,         6076,      210723,           12076870,          5340231,   44616626.0
                 Ecuador,                  0.494,                              0.45,                0.25,               0.35,     0.40625,                  0.25,     1913525,        33250,      526870,           24662847,         11164005,   17888474.0
                   Egypt,    0.24025000000000002,                               0.5,                0.25,                0.4,         0.5,                  0.25,            ,        20537,      359516,           39914919,         15271388,  104258327.0
                 Eritrea,                 0.1075,                              0.35,               0.125,                0.1,     0.21875,                     0,            ,           60,        7393,                   ,                 ,    3601462.0
                   Spain,     0.7497499999999999,                              0.75,                0.75,               0.75,     0.71875,                   0.5,    64470158,        88080,     5174720,           76680144,         37624032,   46745211.0
                 Estonia,                  0.767,                               0.7,               0.875,               0.85,      0.8125,                     1,     2349059,         1803,      223171,            1482433,           789967,    1325188.0
                Ethiopia,                  0.294,                               0.1,               0.125,               0.25,     0.46875,                  0.25,     3836900,         6771,      371672,            9555907,          1449410,  117876226.0
                 Finland,                 0.8975,                               0.8,                   1,                0.9,     0.96875,                     1,     7960883,         1348,      188108,            8320952,          4031696,    5548361.0
                    Fiji,                  0.572,                                  ,                    ,                   ,            ,                      ,      299637,          697,       52532,            1237108,           585788,     902899.0
                  France,                0.80575,                               0.8,               0.875,                0.7,       0.875,                  0.75,            ,       120208,     7829045,          105838515,         47151836,   67564251.0
                   Gabon,                 0.3645,                               0.5,               0.125,                0.3,     0.40625,                  0.25,     1394773,          279,       37342,             277979,           111626,    2278829.0
          United Kingdom,     0.8332499999999999,                               0.7,               0.875,               0.85,     0.90625,                     1,   328984664,       145586,    10333672,          116001687,         46399306,   68207114.0
                 Georgia,                0.54675,                              0.45,                0.75,                0.8,     0.59375,                  0.75,    10362860,        12119,      850102,            2197838,          1022459,    3979773.0
                   Ghana,                  0.575,                              0.75,                0.25,                0.5,     0.46875,                   0.5,     1885473,         1209,      130920,            3493688,           842225,   31732128.0
                  Guinea,                0.24775,                               0.4,                   0,                0.3,     0.15625,                  0.25,            ,          387,       30770,            2459403,           800939,   13497237.0
                  Gambia,    0.44325000000000003,                              0.65,                   0,               0.35,      0.4375,                   0.5,      123506,          342,        9989,             268008,           222890,    2486937.0
           Guinea-Bissau,                  0.263,                                  ,                    ,                   ,            ,                      ,            ,          148,        6442,             368395,            19078,    2015490.0
       Equatorial Guinea,                  0.096,                              0.45,                   0,               0.15,      0.3125,                     0,      259834,          175,       13592,             445684,           198169,    1449891.0
                  Greece,     0.7132499999999999,                              0.65,                 0.5,               0.75,     0.59375,                  0.25,    36708282,        18234,      945095,           14406712,          6618872,   10370747.0
               Greenland,                 0.8125,                                 1,               0.625,               0.85,      0.9375,                  0.75,            ,             ,            ,              77655,            37431,      56868.0
               Guatemala,                0.34225,                               0.4,                0.25,               0.55,        0.25,                     0,     1631448,        15956,      618436,           10070646,          4077410,   18249868.0
           French Guiana,                 0.8125,                              0.75,               0.875,                0.8,      0.8125,                  0.75,            ,          997,       37951,             681103,           279658,     790329.0
                  Guyana,                  0.488,                              0.55,                0.25,                0.5,      0.4375,                   0.5,            ,          997,       37951,             681103,           279658,     790329.0
           Hong Kong SAR,                0.62225,                              0.55,                   1,               0.85,     0.90625,                     1,    28195188,          213,       12439,            9463529,          4535760,    7552800.0
                Honduras,                  0.393,                              0.45,                0.25,                0.6,     0.28125,                  0.25,            ,        10402,      377859,            7960942,          3928749,   10062994.0
                 Croatia,                 0.6375,                              0.65,               0.375,                0.5,     0.59375,                  0.75,     3463550,        10967,      613914,            4154022,          1944167,    4081657.0
                   Haiti,    0.30474999999999997,                              0.35,                   0,               0.45,      0.3125,                     0,            ,          746,       25351,             184769,            66888,   11541683.0
                 Hungary,                0.67175,                              0.75,               0.625,                0.7,      0.6875,                   0.5,     7972599,        34713,     1114260,           14282270,          5852417,    9634162.0
               Indonesia,                  0.565,                              0.55,               0.375,                0.5,       0.375,                  0.25,    36686240,       143840,     4256687,          236724392,         96519346,  276361788.0
                   India,                 0.5805,                              0.55,                 0.5,                0.4,         0.5,                  0.25,   642412315,       469724,    34606541,         1245517176,        453890633, 1393409033.0
                 Ireland,                 0.8275,                              0.75,               0.875,                0.8,       0.875,                  0.75,     9017561,         5707,      573905,            8301247,          3796968,    4982904.0
                    Iran,    0.17250000000000001,                               0.2,                0.25,               0.25,      0.3125,                     0,    38873156,       129912,     6121757,          104609358,         46328337,   85028760.0
                    Iraq,                0.27475,                               0.1,                   0,               0.25,      0.0625,                     0,    16341046,        23844,     2082061,           12048583,          4624482,   41179351.0
                 Iceland,     0.8747499999999999,                              0.95,               0.875,               0.85,      0.9375,                  0.75,      752369,           35,       18055,             648600,           281192,     343360.0
                  Israel,                 0.7045,                              0.55,                0.75,               0.85,        0.75,                   0.5,    32477823,         8199,     1344103,           16209987,          5778068,    9291000.0
                   Italy,                0.73075,                               0.7,                 0.5,                0.8,      0.5625,                   0.5,   119331735,       133931,     5043620,           96951797,         44087884,   60367471.0
                 Jamaica,                0.57525,                               0.7,               0.625,               0.55,      0.4375,                   0.5,      673434,         2396,       91272,            1114343,           512634,    2973462.0
                  Jordan,                  0.306,                               0.4,                 0.5,               0.55,     0.53125,                   0.5,    12169073,        11633,      958990,            7896544,          3754055,   10269022.0
                   Japan,     0.7502500000000001,                              0.85,                0.75,                0.9,     0.84375,                  0.75,    26664442,        18358,     1726751,          197266161,         97453219,  126050796.0
              Kazakhstan,    0.25075000000000003,                               0.5,               0.375,               0.55,     0.40625,                  0.25,    11965068,        17856,     1055779,           16848567,          8105460,   18994958.0
                   Kenya,                0.40875,                               0.5,               0.125,               0.35,     0.34375,                     0,     1675310,         5335,      255164,            7175590,          2759827,   54985702.0
         Kyrgyz Republic,                0.36675,                               0.4,                0.25,                0.5,        0.25,                     0,            ,         2749,      183404,            2033611,           900435,    6628347.0
                Cambodia,                0.18625,                              0.35,               0.125,               0.45,     0.28125,                     0,     2289480,         2944,      120160,           28774496,         13384463,   16946446.0
                   Korea,                0.74425,                               0.5,               0.875,               0.75,      0.8125,                   0.5,    15730786,         3705,      457612,           85349216,         41061655,   51305184.0
                  Kuwait,                 0.3775,                               0.6,               0.375,               0.55,       0.625,                   0.5,     5330503,         2465,      413383,            6578646,          3165385,    4328553.0
                 Lao PDR,                0.11975,                              0.55,               0.125,               0.35,     0.28125,                     0,      817520,          178,       75163,            5830021,          3099003,    7379358.0
                 Lebanon,                0.30175,                               0.1,                   0,               0.45,      0.3125,                     0,     4731376,         8735,      672548,            3608619,          1689417,    6769151.0
                 Liberia,                0.42225,                              0.55,                   0,                0.3,     0.28125,                  0.25,            ,          287,        5824,             589628,           456623,    5180208.0
                   Libya,                   0.16,                              0.05,                   0,               0.05,     0.03125,                     0,            ,         5466,      373210,            2335862,           652314,    6958538.0
           Liechtenstein,                  0.875,                              0.95,                0.75,               0.85,      0.9375,                     1,       79764,           61,        4745,              51118,            25039,      38254.0
               Sri Lanka,     0.5257499999999999,                               0.6,               0.375,               0.55,      0.5625,                   0.5,     5668105,        14372,      564733,           29682085,         13749891,   21497306.0
                 Lesotho,                  0.565,                              0.45,                0.25,                0.5,     0.40625,                   0.5,            ,          663,       21807,             617671,           572287,    2159067.0
               Lithuania,                 0.7315,                              0.75,                0.75,                0.7,     0.71875,                  0.75,     6441314,         6759,      472239,            3720941,          1784357,    2689862.0
              Luxembourg,     0.9027499999999999,                               0.9,                0.75,                0.9,     0.90625,                     1,     3688070,          876,       89766,             917455,           429705,     634814.0
                  Latvia,                0.70575,                               0.6,                0.75,                0.8,        0.75,                  0.75,     5295135,         4213,      254690,            2204205,          1195028,    1866934.0
                  Kosovo,                  0.375,                               0.5,               0.125,                0.4,     0.40625,                  0.25,     1315436,         2984,      161099,            1617512,           762675,    1782115.0
               Macao SAR,                 0.4375,                               0.8,               0.625,               0.85,     0.71875,                   0.5,            ,             ,            ,             918971,           435527,     658391.0
                 Morocco,                0.40825,                              0.45,               0.375,               0.45,     0.46875,                  0.25,     9494575,        14779,      950088,           48782427,         22730482,   37344787.0
                 Moldova,    0.44525000000000003,                               0.4,                0.25,               0.55,     0.34375,                  0.25,     2101912,         9141,      364433,            1625371,           937115,    4024025.0
              Madagascar,                0.50375,                              0.55,               0.125,               0.45,      0.3125,                     0,      245396,          967,       44330,             685440,           484570,   28427333.0
                  Mexico,                0.45975,                               0.5,                 0.5,                0.7,     0.46875,                  0.25,    11277194,       294428,     3891218,          132840902,         65089672,  130262220.0
               Macedonia,                       ,                           0.51325,                0.55,                0.5,         0.7,                   0.5,     1449839,         7592,      215995,            1675793,           789905,    2082661.0
                    Mali,                  0.384,                               0.3,               0.125,                0.4,      0.3125,                  0.25,            ,          610,       17500,             847067,           320681,   20855724.0
                   Malta,                  0.759,                               0.8,                 0.5,               0.85,        0.75,                   0.5,     1406208,          468,       39530,             959906,           432343,     516100.0
                 Myanmar,                0.24575,                              0.35,                   0,               0.55,     0.21875,                  0.25,     4791847,        19111,      522825,           25869175,         10478302,   54806014.0
                Mongolia,     0.5115000000000001,                               0.8,               0.375,               0.55,      0.4375,                  0.25,     4427875,         2008,      382523,            4412537,          2151702,    3329282.0
              Montenegro,                 0.5385,                              0.55,               0.375,                0.6,         0.5,                  0.25,            ,         2310,      157611,             531669,           256556,     628051.0
              Mozambique,                0.33175,                              0.45,                0.25,               0.55,        0.25,                  0.25,      970816,         1941,      151594,           10145909,          3723693,   32163045.0
              Mauritania,                 0.2585,                               0.4,                0.25,               0.55,     0.40625,                  0.25,      254282,          835,       39339,            1734046,           673813,    4775110.0
               Mauritius,                  0.657,                               0.8,               0.625,                0.7,     0.71875,                   0.5,            ,          240,       21040,            1875132,           914936,    1273428.0
                  Malawi,    0.47450000000000003,                              0.55,               0.125,               0.45,     0.46875,                  0.25,      309766,         2306,       61926,            1431650,           605045,   19647681.0
                Malaysia,                 0.6095,                               0.7,                0.75,                0.7,      0.6875,                   0.5,    37999992,        30474,     2638221,           53438354,         25386777,   32776195.0
                 Namibia,                0.60725,                              0.65,                 0.5,               0.65,     0.59375,                   0.5,      787883,         3573,      129243,             649840,           294586,    2587344.0
                   Niger,                 0.2895,                               0.2,                0.25,                0.3,       0.375,                  0.25,            ,          259,        7007,             971636,           464413,   25130810.0
                 Nigeria,    0.29874999999999996,                              0.35,               0.125,                0.2,     0.34375,                     0,     3580510,         2978,      214270,            9846182,          3516215,  211400704.0
               Nicaragua,                 0.2425,                               0.2,                0.25,                0.5,        0.25,                     0,            ,          213,       17254,            6376188,          2322298,    6702379.0
             Netherlands,     0.9167500000000001,                               0.8,                0.75,                0.9,     0.90625,                     1,    16097710,        19909,     2703052,           24636432,         12721528,   17173094.0
